STT;Tên biến;Việt Nam;English;Indonesia
90;applyAll;Xin tất cả;Apply all;Minta semua
91;createGroup;Tạo nhóm;Create party;Buat kelompok
92;group;Nhóm;Party;Kelompok
93;skip;Bỏ qua;Skip;Lewati
94;notCorrect;chưa đúng;not correct;belum benar
95;repassword;Nhập lại mật khẩu;Re-enter password;Masukkan ulang kata sandi
96;PLAESE_INPUT_NUMER;Vui lòng nhập số lượng đúng!;Please enter the correct quantity!;Harap masukkan jumlah yang benar!
97;INPUT_NUM;Nhập số lượng;Enter quantity;Masukkan jumlah
98;GETIN_MORE;Cất nhiều;Deposit multiple;Simpan banyak
99;GETOUT_MORE;Lấy nhiều;Withdraw multiple;Ambil banyak
100;gift;Phần thưởng;Reward;Hadiah
101;MISSION_TYPE;Nhiệm vụ chính|Nhiệm vụ phụ|Nhiệm vụ hằng ngày|Nhiệm vụ sự kiện;Main mission|Side mission|Daily mission|Event mission;Misi utama|Misi sampingan|Misi harian|Misi acara
102;reconnect;Mất kết nối với máy chủ, đang thử kết nối lại;Lost connection to server, attempting to reconnect;Kehilangan koneksi ke server, mencoba menyambung kembali
103;disConnect;Mất kết nối với máy chủ, bạn sẽ trở lại màn hình đăng nhập;Lost connection to server, you will return to the login screen;Kehilangan koneksi ke server, Anda akan kembali ke layar masuk
104;price;Giá;Price;Harga
105;deleteItem;Vứt bỏ;Discard;Buang
106;USE_WEAPON_TO_DO_SKILL;Cần sử dụng đúng vũ khí để xài kĩ năng;Must use the correct weapon to use the skill;Harus menggunakan senjata yang tepat untuk menggunakan keterampilan
107;SHOP_TIEM_MI;Tiệm mì;Noodle shop;Toko mi
108;SHOP_THO_REN;Thợ rèn;Blacksmith;Tukang besi
109;revive;Hồi sinh;Revive;Hidupkan kembali
110;serverClose;Máy chủ đang bảo trì, quay lại sau!;Server under maintenance, please come back later!;Server sedang dalam pemeliharaan, kembali lagi nanti!
111;TAG_NAME_INVENTORY;TC|TTr|VK|PK|VP;TC|TTr|VK|PK|VP;TC|TTr|VK|PK|VP
112;TOC_HE_DETAIL;Làng Lá thuộc Hỏa Quốc, các Shinobi sử dụng Hỏa thuật, do rèn luyện với lửa nên khả năng chịu đựng cao, sức sinh tồn dạng cao. Vũ khí Đại đao và Pháp khí.|Làng Cát nơi quanh năm luôn bị những cơn bão cát bao quanh. Để tránh những cơn bão, người dân ở đây am hiểu phong thuật. Khả năng sinh tồn trung bình. Vũ khí Quạt và Pháp khí.|Làng Mây là ngôi làng ẩn mình trong các đám mây, cuộc sống đầy bí ẩn, nơi ở luôn bị set tấn công, Shinobi ở làng nắm rõ Lôi Thuật, tấn công nhanh và dứt khoát. Vũ khí: Kiếm và Pháp khí.|Làng Đá nơi sinh sống cằn cỗi quanh những vùng núi cao. Am hiểu Thổ thuật, có sức phòng thủ mạnh mẽ, thường che chở cho các đồng đội. Vũ khí: vũ khí dài và Pháp khí.|Ẩn mình trong màn sương của Thuỷ quốc là Làng Sương Mù, Shinobi ở đây tinh thông Thuỷ thuật, có thể dùng dòng nước để tấn công và trị liệu. Vũ khí Phi tiêu lớn và Pháp khí.;Leaf Village in the Fire Nation, Shinobi use Fire techniques, trained with fire so they have high endurance and strong survivability. Weapons: Greatsword and Magic Tool.|Sand Village, surrounded by sandstorms year-round. To avoid storms, locals master Wind techniques. Average survivability. Weapons: Fan and Magic Tool.|Cloud Village, hidden among clouds, lives mysteriously, always under lightning attacks, Shinobi master Lightning techniques, attacking swiftly and decisively. Weapons: Sword and Magic Tool.|Stone Village, living in barren high mountains. Masters Earth techniques, with strong defense, often protecting teammates. Weapons: Long weapons and Magic Tool.|Hidden in the mist of the Water Nation is Mist Village, Shinobi excel in Water techniques, using water for attack and healing. Weapons: Large Shuriken and Magic Tool.;Desa Daun di Negara Api, Shinobi menggunakan teknik Api, dilatih dengan api sehingga memiliki daya tahan tinggi dan kemampuan bertahan yang kuat. Senjata: Pedang besar dan Alat Sihir.|Desa Pasir, dikelilingi badai pasir sepanjang tahun. Untuk menghindari badai, penduduk menguasai teknik Angin. Kemampuan bertahan rata-rata. Senjata: Kipas dan Alat Sihir.|Desa Awan, tersembunyi di antara awan, hidup penuh misteri, selalu diserang petir, Shinobi menguasai teknik Petir, menyerang cepat dan tegas. Senjata: Pedang dan Alat Sihir.|Desa Batu, hidup di pegunungan tinggi yang tandus. Menguasai teknik Tanah, memiliki pertahanan kuat, sering melindungi rekan tim. Senjata: Senjata panjang dan Alat Sihir.|Tersembunyi dalam kabut Negara Air adalah Desa Kabut, Shinobi mahir dalam teknik Air, menggunakan air untuk menyerang dan menyembuhkan. Senjata: Shuriken besar dan Alat Sihir.
113;nameTocHe;Tất cả|Hoả|Phong|Lôi|Thổ|Thủy;All|Fire|Wind|Lightning|Earth|Water;Semua|Api|Angin|Petir|Tanah|Air
114;username;Tên tài khoản;Username;Nama pengguna
115;music;Nhạc;Music;Musik
116;sound;Âm lượng;Volume;Volume
117;option;Cấu hình;Option;Pilihan
118;setting;Cài đặt;Settings;Pengaturan
119;createChar;Tạo nhân vật;Create character;Buat karakter
120;chooseChar;Chọn nhân vật;Choose character;Pilih karakter
121;male;Nam;Male;Laki-laki
122;female;Nữ;Female;Perempuan
123;inputYourName;Tên nhân vật...;Character name...;Nama karakter...
124;isLogining;Đang đăng nhập...;Logging in;Sedang masuk
125;join;Vào;Join;Gabung
126;info;Thông tin;Information;Informasi
127;mission;Nhiệm vụ;Mission;Misi
128;news;Tin tức;News;Berita
129;SP;SP;SP;SP
130;get;Nhận;Receive;Terima
131;hsd;Hsd;Hsd;Hsd
132;remove;Gỡ;Remove;Hapus
133;lv;Cấp độ;Level;Level
134;inventoryz;Hành trang;Inventory;Inventaris
135;warehouse;Kho đồ;Warehouse;Gudang
136;type;Loại;Type;Jenis
137;intendedFor;Thuộc tính: ;Attribute: ;Atribut:
138;TYPE_NON;Nón;Hat;Topi
139;TYPE_VUKHI;Vũ khí;Weapon;Senjata
140;TYPE_AO;Áo;Armor;Baju zirah
141;TYPE_LIEN;Liền;Suit;Setelan
142;TYPE_GANGTAY;Găng tay;Gloves;Sarung tangan
143;TYPE_NHAN;Nhẫn;Ring;Cincin
144;TYPE_QUAN;Quần;Pants;Celana
145;TYPE_NGOCBOI;Ngọc bội;Jade;Giok
146;TYPE_GIAY;Giày;Shoes;Sepatu
147;TYPE_PHU;Phụ;Accessory;Aksesori
148;TYPE_THUNUOI;Thú nuôi;Pet;Peliharaan
149;TYPE_MATNA;Mặt nạ;Mask;Topeng
150;TYPE_AOCHOANG;Áo choàng;Cloak;Jubah
151;TYPE_GIATOC;Gia tộc;Clan;Klan
152;TYPE_NGUYETNHAN;Nguyệt nhẫn;Moon ring;Cincin bulan
153;TYPE_BIKIP;Bí kíp;Secret manual;Buku rahasia
154;TYPE_HP;HP;HP;HP
155;TYPE_MP;MP;MP;MP
156;TYPE_EAT;Sử dụng;Use;Gunakan
157;TYPE_MONEY;Tiền;Money;Uang
158;TYPE_POTION;Vật phẩm;Item;Barang
159;TYPE_POTION_QUEST;Vật phẩm nhiệm vụ;Quest item;Barang misi
160;TYPE_ITEM;Nón|Vũ khí|Áo|Liền|Găng tay|Nhẫn|Quần|Ngọc bội|Giày|Phụ|Thú nuôi|Mặt nạ|Áo choàng|Gia tộc|Nguyệt nhẫn|Bí kíp|HP|MP|Sử dụng|Tiền|Vật phẩm|Vật phẩm nhiệm vụ;Hat|Weapon|Armor|Suit|Gloves|Ring|Pants|Jade|Shoes|Accessory|Pet|Mask|Cloak|Clan|Moon ring|Secret manual|HP|MP|Use|Money|Item|Quest item;Topi|Senjata|Baju zirah|Setelan|Sarung tangan|Cincin|Celana|Giok|Sepatu|Aksesori|Peliharaan|Topeng|Jubah|Klan|Cincin bulan|Buku rahasia|HP|MP|Gunakan|Uang|Barang|Barang misi
161;login;Đăng nhập;Log in;Masuk
162;xoadulieu;Xóa dữ liệu;Clear data;Hapus data
163;notNull; không được bỏ trống!;must not be empty!;tidak boleh kosong!
164;equip;Sử dụng;Equip;Mengalati
